年份, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,6.21,9.22,7.46,6.68,9,7.28,9.57,9.31,10.29,8.82,9.94,10.75,11.49,9.42,10.73,10.39,13.64,8.45,8.46,8.37,12.37,10.88
1999,6.31,9.44,7.47,6.79,9.27,7.49,9.89,9.5,10.67,9.13,10.22,11.16,12.04,9.68,11,10.52,14.11,8.63,8.48,8.42,12.9,11.22
2000,6.37,9.67,7.46,6.9,9.53,7.7,10.2,9.69,10.98,9.42,10.6,11.61,12.41,10,11.27,10.73,14.4,8.81,8.46,8.67,13.03,11.05
2001,6.44,9.94,7.49,7.04,9.76,7.91,10.49,9.91,11.21,9.73,10.9,11.99,12.75,10.25,11.4,10.83,14.29,9.06,8.5,8.85,13.13,9.3
2002,6.55,10.25,7.51,7.22,10,8.14,10.82,10.17,11.57,10.03,11.23,12.41,13.14,10.54,11.55,11,14.42,9.28,8.59,9.15,13.39,9.7
2003,6.67,10.58,7.56,7.39,10.22,8.39,11.17,10.39,11.87,10.31,11.56,12.82,13.58,10.84,11.76,11.19,14.58,9.47,8.69,9.46,13.65,9.99
2004,6.86,10.92,7.62,7.6,10.46,8.66,11.54,10.58,12.19,10.65,11.96,13.26,13.98,11.13,12.01,11.41,14.78,9.71,8.81,9.7,13.52,9.77
2005,7.08,11.29,7.72,7.81,10.71,8.95,11.95,10.85,12.5,10.97,12.33,13.7,14.34,11.4,12.18,11.64,14.81,10.03,8.95,10,13.15,9.38
2006,7.32,11.64,7.84,8.02,10.97,9.26,12.3,11.02,12.79,11.28,12.7,14.12,14.78,11.75,12.49,11.87,15.03,10.31,9.12,10.25,12.77,9.92
2007,7.52,11.96,7.92,8.2,11.13,9.52,12.61,11.12,13.01,11.55,12.99,14.43,15.09,12,12.66,12.05,15.02,10.54,9.21,10.45,12.67,9.86
2008,7.76,12.31,8.05,8.37,11.35,9.81,12.83,11.2,13.21,11.79,13.22,14.73,15.35,12.26,12.93,12.26,14.91,10.77,9.29,10.64,12.72,9.85
2009,8.04,12.6,8.18,8.57,11.54,10.11,13.01,11.28,13.33,11.98,13.39,14.91,15.56,12.49,12.98,12.41,14.63,10.96,9.37,10.86,12.09,9.66
2010,8.27,12.67,8.24,8.69,11.6,10.29,13.1,11.15,13.4,12.09,13.56,15.04,15.65,12.63,13.05,12.52,14.48,11.02,9.39,10.98,11.99,9.43
2011,8.54,12.76,8.37,8.83,11.65,10.5,13.22,11.08,13.43,12.21,13.74,15.28,15.79,12.79,13.16,12.68,14.5,11.19,9.44,11.17,11.92,9.66
2012,8.97,13.04,8.58,9.06,11.85,10.87,13.33,11.06,13.54,12.47,13.94,15.49,16.04,13.1,13.47,12.94,14.28,11.55,9.59,11.49,11.41,9.32
2013,9.48,13.5,8.9,9.39,12.2,11.38,13.54,11.09,13.69,12.81,14.3,15.77,16.43,13.54,13.71,13.21,14.31,11.99,9.81,11.86,11.23,9.32
2014,10.1,14.08,9.31,9.79,12.62,11.95,13.83,11.22,13.9,13.21,14.71,16.1,16.84,13.96,14.02,13.56,14.46,12.55,10.12,12.31,11.19,9.47
2015,10.81,14.76,9.67,10.29,13.09,12.61,14.23,11.43,14.28,13.64,15.21,16.47,17.28,14.49,14.42,14.07,14.77,13.2,10.5,12.74,11.18,9.81
