C_Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
新北市,6.21,6.31,6.37,6.44,6.55,6.67,6.86,7.08,7.32,7.52,7.76,8.04,8.27,8.54,8.97,9.48,10.1,10.81
臺北市,9.22,9.44,9.67,9.94,10.25,10.58,10.92,11.29,11.64,11.96,12.31,12.6,12.67,12.76,13.04,13.5,14.08,14.76
桃園市,7.46,7.47,7.46,7.49,7.51,7.56,7.62,7.72,7.84,7.92,8.05,8.18,8.24,8.37,8.58,8.9,9.31,9.67
臺中市,6.68,6.79,6.9,7.04,7.22,7.39,7.6,7.81,8.02,8.2,8.37,8.57,8.69,8.83,9.06,9.39,9.79,10.29
臺南市,9,9.27,9.53,9.76,10,10.22,10.46,10.71,10.97,11.13,11.35,11.54,11.6,11.65,11.85,12.2,12.62,13.09
高雄市,7.28,7.49,7.7,7.91,8.14,8.39,8.66,8.95,9.26,9.52,9.81,10.11,10.29,10.5,10.87,11.38,11.95,12.61
宜蘭縣,9.57,9.89,10.2,10.49,10.82,11.17,11.54,11.95,12.3,12.61,12.83,13.01,13.1,13.22,13.33,13.54,13.83,14.23
新竹縣,9.31,9.5,9.69,9.91,10.17,10.39,10.58,10.85,11.02,11.12,11.2,11.28,11.15,11.08,11.06,11.09,11.22,11.43
苗栗縣,10.29,10.67,10.98,11.21,11.57,11.87,12.19,12.5,12.79,13.01,13.21,13.33,13.4,13.43,13.54,13.69,13.9,14.28
彰化縣,8.82,9.13,9.42,9.73,10.03,10.31,10.65,10.97,11.28,11.55,11.79,11.98,12.09,12.21,12.47,12.81,13.21,13.64
南投縣,9.94,10.22,10.6,10.9,11.23,11.56,11.96,12.33,12.7,12.99,13.22,13.39,13.56,13.74,13.94,14.3,14.71,15.21
雲林縣,10.75,11.16,11.61,11.99,12.41,12.82,13.26,13.7,14.12,14.43,14.73,14.91,15.04,15.28,15.49,15.77,16.1,16.47
嘉義縣,11.49,12.04,12.41,12.75,13.14,13.58,13.98,14.34,14.78,15.09,15.35,15.56,15.65,15.79,16.04,16.43,16.84,17.28
屏東縣,9.42,9.68,10,10.25,10.54,10.84,11.13,11.4,11.75,12,12.26,12.49,12.63,12.79,13.1,13.54,13.96,14.49
臺東縣,10.73,11,11.27,11.4,11.55,11.76,12.01,12.18,12.49,12.66,12.93,12.98,13.05,13.16,13.47,13.71,14.02,14.42
花蓮縣,10.39,10.52,10.73,10.83,11,11.19,11.41,11.64,11.87,12.05,12.26,12.41,12.52,12.68,12.94,13.21,13.56,14.07
澎湖縣,13.64,14.11,14.4,14.29,14.42,14.58,14.78,14.81,15.03,15.02,14.91,14.63,14.48,14.5,14.28,14.31,14.46,14.77
基隆市,8.45,8.63,8.81,9.06,9.28,9.47,9.71,10.03,10.31,10.54,10.77,10.96,11.02,11.19,11.55,11.99,12.55,13.2
新竹市,8.46,8.48,8.46,8.5,8.59,8.69,8.81,8.95,9.12,9.21,9.29,9.37,9.39,9.44,9.59,9.81,10.12,10.5
嘉義市,8.37,8.42,8.67,8.85,9.15,9.46,9.7,10,10.25,10.45,10.64,10.86,10.98,11.17,11.49,11.86,12.31,12.74
金門縣,12.37,12.9,13.03,13.13,13.39,13.65,13.52,13.15,12.77,12.67,12.72,12.09,11.99,11.92,11.41,11.23,11.19,11.18
連江縣,10.88,11.22,11.05,9.3,9.7,9.99,9.77,9.38,9.92,9.86,9.85,9.66,9.43,9.66,9.32,9.32,9.47,9.81
